date_time,acc,dataset,split,input,type,a1,a2,a3
2019-05-23 17:05:30,72.35,HMDB51,1,flow,time,0.1,0.0,0.0
2019-05-23 17:08:26,71.76,HMDB51,1,flow,time,0.01,0.0,0.0
2019-05-23 17:11:37,71.76,HMDB51,1,flow,time,0.001,0.0,0.0
2019-05-23 17:13:14,70.92,HMDB51,1,flow,time,0.0001,0.0,0.0
2019-05-23 17:16:37,72.09,HMDB51,1,flow,time,0.0,1.0,0.0
2019-05-23 17:20:48,71.44,HMDB51,1,flow,time,0.0,0.1,0.0
2019-05-23 17:23:41,71.50,HMDB51,1,flow,time,0.0,0.01,0.0
2019-05-23 17:26:38,72.09,HMDB51,1,flow,time,0.0,0.001,0.0
2019-05-23 17:30:00,71.63,HMDB51,1,flow,time,0.0,0.0001,0.0
2019-05-23 17:32:43,71.11,HMDB51,1,flow,time,0.0,0.0,1.0
2019-05-23 17:36:00,71.63,HMDB51,1,flow,time,0.0,0.0,0.1
2019-05-23 17:38:36,72.22,HMDB51,1,flow,time,0.0,0.0,0.01
2019-05-23 17:41:38,71.70,HMDB51,1,flow,time,0.0,0.0,0.001
2019-05-23 17:43:53,71.11,HMDB51,1,flow,time,0.0,0.0,0.0001
2019-05-23 17:58:18,93.05,UCF101,1,flow,time,0.0,0.0,0.0
2019-05-23 18:06:59,92.99,UCF101,1,flow,time,1.0,0.0,0.0
2019-05-23 18:18:40,93.10,UCF101,1,flow,time,0.1,0.0,0.0
2019-05-23 18:27:48,92.65,UCF101,1,flow,time,0.01,0.0,0.0
2019-05-23 18:35:48,92.68,UCF101,1,flow,time,0.001,0.0,0.0
2019-05-23 18:44:01,92.97,UCF101,1,flow,time,0.0001,0.0,0.0
2019-05-23 18:51:26,92.97,UCF101,1,flow,time,0.0,1.0,0.0
2019-05-23 18:58:29,92.73,UCF101,1,flow,time,0.0,0.1,0.0
2019-05-23 19:08:50,92.78,UCF101,1,flow,time,0.0,0.01,0.0
2019-05-23 19:14:58,92.89,UCF101,1,flow,time,0.0,0.001,0.0
2019-05-23 19:22:07,92.97,UCF101,1,flow,time,0.0,0.0001,0.0
2019-05-23 19:28:24,91.81,UCF101,1,flow,time,0.0,0.0,1.0
2019-05-23 19:36:06,92.15,UCF101,1,flow,time,0.0,0.0,0.1
2019-05-23 19:42:06,92.68,UCF101,1,flow,time,0.0,0.0,0.01
2019-05-23 19:46:51,92.52,UCF101,1,flow,time,0.0,0.0,0.001
2019-05-23 20:05:17,93.07,UCF101,1,flow,time,0.0,0.0,0.0001
